순위,영화명,개봉일,매출액 ,매출액 점유율,관객수,스크린수,대표국적,국적,배급사
69,볼츠와 블립,2012-02-23,"161,329,000",0.0%,"15,386",61,한국,한국,(주)씨제이이엔엠
70,서태지 8집: 398일의 기록,2012-07-27,"43,754,500",0.0%,"5,326",1,한국,한국,(주)서태지컴퍼니
71,박수건달,2013-01-09,"35,562,000",0.0%,"4,753",599,한국,한국,(주)쇼박스
72,마이 리틀 히어로,2013-01-09,"16,704,000",0.0%,"2,328",341,한국,한국,(주)씨제이이엔엠
73,에스엠타운 라이브인도쿄스페셜에디션3D,2012-10-11,"18,130,000",0.0%,"1,652",63,한국,한국,(주)에스비에스콘텐츠허브
74,전망 좋은 집,2012-10-25,"10,864,000",0.0%,"1,461",23,한국,한국,(주)마인스 엔터테인먼트
76,스타: 빛나는 사랑,2012-10-11,"4,382,000",0.0%,577,5,한국,한국,주식회사 마운틴픽쳐스
78,모피를 입은 비너스,2012-07-12,"3,248,000",0.0%,393,1,한국,한국,(주)영화사 조제
80,수목장,2012-11-15,"1,406,000",0.0%,263,2,한국,한국,주식회사 마운틴픽쳐스
81,노크,2012-11-29,"1,492,000",0.0%,203,3,한국,한국,주식회사 마운틴픽쳐스
82,사랑을 말하다,2012-09-13,"940,000",0.0%,188,2,한국,한국,크리에이티브컴즈(주)
83,킬링 타임,2012-03-15,"1,208,000",0.0%,155,1,한국,한국,(주)데이드림서울
84,아버지는 개다,2012-04-26,"969,000",0.0%,144,1,한국,한국,이상우필름
85,맛있는불륜-택시,2012-10-25,"515,000",0.0%,103,1,한국,한국,(주)케이알씨지
87,핏불테리아,2012-10-23,"492,800",0.0%,77,1,한국,한국,스턴트코리아
88,스팟걸-교수와 여제자,2012-08-02,"400,000",0.0%,75,1,한국,한국,(유)조이앤컨텐츠그룹
88,48시간의 일탈,2012-04-28,"350,050",0.0%,75,1,한국,한국,(주)케이알씨지
88,맛있는 스캔들,2012-11-02,"400,000",0.0%,75,1,한국,한국,(주)케이알씨지
88,여인의 숨결,2012-08-10,"400,000",0.0%,75,1,한국,한국,(주)케이알씨지
92,90분,2012-08-23,"248,000",0.0%,42,1,한국,한국,(주)키노아이디엠씨
93,전망좋은해변-두여자,2012-12-26,"200,000",0.0%,30,1,한국,한국,(주)케이알씨지
94,전망 좋은 방-맛있는 섹스,2012-12-19,"140,000",0.0%,20,1,한국,한국,(주)케이알씨지
94,깊은 사랑,2012-12-12,"120,000",0.0%,20,1,한국,한국,(주)케이알씨지
94,몽정애-감독판,2012-12-20,"140,000",0.0%,20,1,한국,한국,(주)케이알씨지
94,플라스틱 섹스,2012-12-26,"140,000",0.0%,20,1,한국,한국,(주)케이알씨지
98,"맛있는 섹스, 맛있는 상상",2012-11-22,"30,000",0.0%,10,0,한국,한국,(주)케이알씨지
98,스무살의 이중생활,2012-11-29,"100,000",0.0%,10,0,한국,한국,(주)케이알씨지
98,금지된 섹스 불륜2,2012-11-15,"30,000",0.0%,10,0,한국,한국,(주)케이알씨지
98,AV스타납치사건,2012-11-22,"65,000",0.0%,10,2,한국,한국,골든타이드픽처스(주)
98,전망 좋은 방-밀애,2012-11-08,"30,000",0.0%,10,1,한국,한국,(주)케이알씨지
103,잔혹한 앵글의 로망스,2012-12-13,"59,000",0.0%,9,2,한국,한국,"골든타이드픽처스(주),Yellow Pictures"
104,야색야동,2012-03-15,"10,000",0.0%,5,1,한국,한국,(주)케이알씨지
105,AV 아이돌,2012-08-02,"10,000",0.0%,2,1,한국,"한국,일본",골든타이드픽처스(주)
1,7번방의 선물,2013-01-23,"91,431,914,670",10.1%,"12,811,206",787,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
2,설국열차,2013-08-01,"67,010,077,500",7.4%,"9,349,991","1,128",한국,"한국,체코",(주)씨제이이엔엠
3,관상,2013-09-11,"66,005,451,500",7.3%,"9,134,586","1,190",한국,한국,(주)쇼박스
4,베를린,2013-01-30,"52,354,931,637",5.8%,"7,166,199",894,한국,"한국,독일",(주)씨제이이엔엠
5,은밀하게 위대하게,2013-06-05,"48,700,887,413",5.4%,"6,959,083","1,341",한국,한국,(주)쇼박스
6,변호인,2013-12-18,"40,953,438,500",4.5%,"5,687,052",923,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
7,숨바꼭질,2013-08-14,"39,602,987,500",4.4%,"5,604,104",779,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
8,더 테러 라이브,2013-07-31,"39,866,712,881",4.4%,"5,583,596",743,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
9,감시자들,2013-07-03,"39,380,162,179",4.4%,"5,508,017",949,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
10,신세계,2013-02-21,"34,881,330,905",3.9%,"4,682,492",671,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
12,스파이,2013-09-05,"24,509,269,305",2.7%,"3,435,801",785,한국,"한국,태국",(주)씨제이이엔엠
14,감기,2013-08-14,"21,784,202,000",2.4%,"3,119,023",806,한국,한국,아이러브시네마
15,친구 2,2013-11-14,"21,795,237,513",2.4%,"2,969,900",968,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
16,소원,2013-10-02,"18,529,792,100",2.1%,"2,711,071",641,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
17,화이: 괴물을 삼킨 아이,2013-10-09,"17,695,412,795",2.0%,"2,394,453",817,한국,한국,(주)쇼박스
18,용의자,2013-12-24,"15,629,492,500",1.7%,"2,176,752",807,한국,한국,(주)쇼박스
19,몽타주,2013-05-16,"15,002,458,500",1.7%,"2,095,592",540,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
20,연애의 온도,2013-03-21,"13,798,864,446",1.5%,"1,865,195",567,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
21,공범,2013-10-24,"12,333,110,882",1.4%,"1,766,285",611,한국,한국,(주)씨제이이엔엠
22,집으로 가는 길,2013-12-11,"12,373,339,745",1.4%,"1,763,231",740,한국,한국,(주)씨제이이엔엠
23,전설의 주먹,2013-04-10,"12,777,314,500",1.4%,"1,744,585",724,한국,한국,(주)씨제이이엔엠
24,파파로티,2013-03-14,"11,825,934,000",1.3%,"1,716,429",552,한국,한국,(주)쇼박스
25,런닝맨,2013-04-04,"10,060,239,500",1.1%,"1,422,844",567,한국,"한국,미국",이십세기폭스코리아(주)
26,미스터 고,2013-07-17,"9,337,990,000",1.0%,"1,328,890",840,한국,"한국,중국",(주)쇼박스
27,결혼전야,2013-11-21,"8,434,175,719",0.9%,"1,212,843",524,한국,한국,씨너스엔터테인먼트(주)
28,깡철이,2013-10-02,"8,572,344,462",0.9%,"1,209,363",707,한국,한국,(주)씨제이이엔엠
29,더 웹툰: 예고살인,2013-06-27,"8,534,322,070",0.9%,"1,201,033",541,한국,한국,(주)씨제이이엔엠
30,고령화 가족,2013-05-09,"8,169,492,153",0.9%,"1,141,222",583,한국,한국,(주)씨제이이엔엠
31,동창생,2013-11-06,"7,010,197,126",0.8%,"1,048,280",660,한국,한국,(주)쇼박스
32,전국노래자랑,2013-05-01,"6,685,476,000",0.7%,"977,873",581,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
33,뽀로로 극장판 슈퍼썰매 대모험,2013-01-23,"6,819,979,500",0.8%,"929,985",459,한국,한국,"(주)넥스트엔터테인먼트월드(NEW),(주)씨제이이엔엠"
34,열한시,2013-11-28,"6,097,792,000",0.7%,"870,785",512,한국,한국,(주)씨제이이엔엠
35,남쪽으로 튀어,2013-02-06,"5,970,851,500",0.7%,"832,894",428,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
37,더 파이브,2013-11-14,"5,343,797,000",0.6%,"731,212",501,한국,한국,(주)씨제이이엔엠
38,사이코메트리,2013-03-07,"3,978,107,129",0.4%,"534,176",429,한국,한국,(주)씨제이이엔엠
39,남자사용설명서,2013-02-14,"3,606,480,257",0.4%,"507,890",372,한국,한국,(주)쇼박스
40,무서운 이야기 2,2013-06-05,"3,393,667,500",0.4%,"495,522",337,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
41,캐치미,2013-12-18,"3,293,262,500",0.4%,"480,434",517,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
42,노브레싱,2013-10-30,"2,991,824,739",0.3%,"451,669",584,한국,"한국,필리핀",(주)나이너스엔터테인먼트
43,창수,2013-11-28,"3,146,542,000",0.3%,"429,141",415,한국,한국,"(주)마인스 엔터테인먼트,(주)박수엔터테인먼트"
44,미나문방구,2013-05-16,"2,247,017,000",0.2%,"334,323",385,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
45,롤러코스터,2013-10-17,"1,913,087,600",0.2%,"270,148",374,한국,한국,(주)씨제이이엔엠
46,밤의 여왕,2013-10-17,"1,762,892,500",0.2%,"252,475",333,한국,한국,(주)인벤트스톤
47,분노의 윤리학,2013-02-21,"1,658,653,000",0.2%,"225,618",302,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
48,응징자,2013-10-30,"1,388,412,500",0.2%,"192,347",305,한국,한국,(주)인벤트스톤
50,톱스타,2013-10-24,"1,194,180,500",0.1%,"175,152",397,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
51,노리개,2013-04-18,"1,229,574,500",0.1%,"169,054",278,한국,한국,(주)인벤트스톤
53,배우는 배우다,2013-10-24,"811,031,000",0.1%,"111,927",297,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
54,닥터,2013-06-20,"495,574,500",0.1%,"68,312",163,한국,한국,(주)마인스 엔터테인먼트
55,뜨거운 안녕,2013-05-30,"315,291,000",0.0%,"47,105",172,한국,"한국,일본",(주)나이너스엔터테인먼트
57,꼭두각시,2013-06-20,"227,941,500",0.0%,"31,713",134,한국,한국,(주)인벤트스톤
60,완전 소중한 사랑,2013-11-21,"129,614,500",0.0%,"20,303",66,한국,한국,주식회사 마운틴픽쳐스
61,이별계약,2013-06-20,"127,495,500",0.0%,"17,797",63,한국,"한국,중국",(주)씨제이이엔엠
62,아티스트 봉만대,2013-08-29,"93,817,000",0.0%,"14,188",131,한국,한국,씨너스엔터테인먼트(주)
63,연애의 기술,2013-10-30,"64,882,000",0.0%,"8,913",63,한국,한국,(주)팝엔터테인먼트
64,"가자, 장미여관으로",2013-08-14,"29,545,500",0.0%,"8,307",21,한국,한국,(주)팝파트너스
65,원 오브 어 카인드 3D ; G-DRAGON 2013 1ST WORLD TOUR,2013-10-31,"90,752,500",0.0%,"8,038",39,한국,한국,골든타이드픽처스(주)
66,미스체인지,2013-09-05,"42,659,500",0.0%,"6,054",41,한국,한국,브릿지웍스 엔터테인먼트(주)
67,비밀의 화방,2013-12-12,"4,130,000",0.0%,"5,530",5,한국,한국,(주)케이알씨지
68,맛있는 사랑공식-섹스,2013-10-31,"8,000,000",0.0%,"5,460",5,한국,한국,(주)케이알씨지
69,전망 좋은 하우스 - 관음적 욕망,2013-11-21,"3,710,000",0.0%,"5,390",4,한국,한국,(주)케이알씨지
70,붉은 바캉스 검은 웨딩 2,2013-11-28,"10,500,000",0.0%,"5,100",20,한국,한국,(주)팝파트너스
71,화려한 외출,2013-12-05,"13,547,000",0.0%,"5,067",20,한국,한국,(주)영화사폴
72,바캉스,2013-10-17,"14,674,000",0.0%,"5,051",21,한국,한국,(주)유비네트워크
73,은밀하게 위대하게 (확장판),2013-08-05,"34,327,500",0.0%,"4,738",5,한국,한국,(주)쇼박스
74,거짓말 섹스가 좋아2,2013-12-24,"2,900,000",0.0%,"4,470",5,한국,한국,(주)케이알씨지
75,일탈여행: 프라이빗 아일랜드,2013-08-29,"18,135,500",0.0%,"3,460",23,한국,한국,(주)팝엔터테인먼트
76,플랜맨,2014-01-09,"19,305,000",0.0%,"3,441",458,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
77,슈퍼쇼 4 3D,2013-08-08,"32,204,000",0.0%,"2,801",26,한국,한국,(주)마인스 엔터테인먼트
78,이티피 페스티벌 08X09 서태지,2013-05-03,"26,632,000",0.0%,"2,764",1,한국,한국,(주)서태지컴퍼니
80,댄서김의 은밀한 교수법,2013-10-02,"3,112,000",0.0%,"1,556",1,한국,한국,(주)베드픽쳐스
81,좋은 친구들,2013-03-28,"9,709,500",0.0%,"1,258",15,한국,한국,(주)마인스 엔터테인먼트
82,또 하나의 약속,2014-02-06,"7,603,000",0.0%,"1,057",192,한국,한국,영화사올(주)
83,노랑머리 - 플라스틱 섹스,2013-08-01,"1,800,000",0.0%,900,1,한국,한국,(주)케이알씨지
84,러브씬,2013-10-03,"3,775,000",0.0%,805,4,한국,한국,골든타이드픽처스(주)
85,허풍,2013-08-14,"3,031,000",0.0%,656,3,한국,한국,골든타이드픽처스(주)
86,미녀전쟁,2013-12-19,"2,905,000",0.0%,631,4,한국,한국,골든타이드픽처스(주)
87,젊은 엄마,2013-08-06,"3,168,000",0.0%,528,1,한국,한국,"골든타이드픽처스(주),(주)옐로우필름"
89,사육-내안에 가둔 그녀,2013-10-24,"2,220,000",0.0%,440,5,한국,한국,(주)케이알씨지
90,롤플레이2 : 동침,2013-11-21,"1,400,000",0.0%,330,2,한국,한국,골든타이드픽처스(주)
91,소원택시,2013-10-04,"971,000",0.0%,283,2,한국,한국,(주)마부엔터테인먼트
92,한 번도 안 해본 여자,2014-01-16,"1,315,000",0.0%,263,66,한국,한국,(주)팝엔터테인먼트
93,관음 - 욕망의 유희,2013-08-29,"490,000",0.0%,205,2,한국,한국,(주)케이알씨지
94,아름다운 이별은 없다,2013-08-22,"1,000,000",0.0%,200,1,한국,한국,(주)스넵쏘울
97,배꼽,2013-01-17,"300,000",0.0%,50,1,한국,한국,타임스토리그룹(주)
98,마지막 중독,2013-04-19,"150,000",0.0%,30,1,한국,한국,(주)케이알씨지
99,거짓말 섹스가 좋아,2013-07-04,"50,000",0.0%,25,1,한국,한국,(주)케이알씨지
99,맛있는 섹스 - 인연,2013-06-27,"50,000",0.0%,25,1,한국,한국,(주)케이알씨지
103,몽정애-꿈 속의 여인,2013-12-31,"40,000",0.0%,10,5,한국,한국,(주)케이알씨지
103,전망 좋은 차- 맛있는 섹스,2013-07-17,"20,000",0.0%,10,1,한국,한국,(주)케이알씨지
103,창녀의 성적유희,2013-05-29,"150,000",0.0%,10,1,한국,한국,(주)케이알씨지
103,참을 수 없는 성적유희 감독판,2013-02-15,"150,000",0.0%,10,1,한국,한국,(주)케이알씨지
109,고양이 소녀,2013-11-28,"8,000",0.0%,1,1,한국,한국,골든타이드픽처스(주)
1,명량,2014-07-30,"135,748,398,910",17.5%,"17,613,682","1,587",한국,한국,(주)씨제이이엔엠
2,해적: 바다로 간 산적,2014-08-06,"66,370,682,706",8.6%,"8,666,046",838,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
3,수상한 그녀,2014-01-22,"62,696,639,249",8.1%,"8,656,397",692,한국,한국,(주)씨제이이엔엠
5,국제시장,2014-12-17,"41,089,576,596",5.3%,"5,345,678",966,한국,한국,(주)씨제이이엔엠
6,군도: 민란의 시대,2014-07-23,"36,987,755,999",4.8%,"4,774,895","1,394",한국,한국,(주)쇼박스
7,타짜-신의 손,2014-09-03,"32,373,120,927",4.2%,"4,015,361",890,한국,한국,"롯데쇼핑㈜롯데엔터테인먼트,(주)싸이더스"
8,역린,2014-04-30,"29,893,297,890",3.9%,"3,849,433","1,054",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
9,신의 한 수,2014-07-03,"28,810,921,456",3.7%,"3,566,336",794,한국,한국,(주)쇼박스
10,끝까지 간다,2014-05-29,"27,007,303,900",3.5%,"3,450,305",645,한국,한국,(주)쇼박스
11,표적,2014-04-30,"22,256,359,300",2.9%,"2,841,788",665,한국,한국,(주)씨제이이엔엠
12,나의 사랑 나의 신부,2014-10-08,"16,636,404,305",2.1%,"2,141,155",629,한국,한국,씨네그루(주)다우기술
13,남자가 사랑할 때,2014-01-22,"14,510,222,300",1.9%,"1,979,311",531,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
15,기술자들,2014-12-24,"13,652,480,148",1.8%,"1,778,083",641,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
16,제보자,2014-10-02,"13,515,762,802",1.7%,"1,755,181",676,한국,한국,플러스엠 엔터테인먼트
17,피끓는 청춘,2014-01-22,"11,688,382,888",1.5%,"1,676,040",679,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
18,두근두근 내 인생,2014-09-03,"12,291,081,634",1.6%,"1,624,601",629,한국,한국,(주)씨제이이엔엠
19,우아한 거짓말,2014-03-13,"11,727,360,300",1.5%,"1,618,988",555,한국,한국,CGV아트하우스
20,해무(海霧),2014-08-13,"11,706,502,519",1.5%,"1,475,472",584,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
21,인간중독,2014-05-14,"11,284,787,400",1.5%,"1,441,964",682,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
22,찌라시: 위험한 소문,2014-02-20,"9,111,648,087",1.2%,"1,221,420",560,한국,한국,(주)씨제이이엔엠
23,빅매치,2014-11-27,"8,952,096,578",1.2%,"1,177,438",627,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
24,슬로우 비디오,2014-10-02,"8,913,092,219",1.1%,"1,169,562",618,한국,한국,이십세기폭스코리아(주)
25,방황하는 칼날,2014-04-10,"7,828,526,800",1.0%,"989,881",594,한국,한국,(주)씨제이이엔엠
26,우리는 형제입니다,2014-10-23,"7,263,255,399",0.9%,"970,373",566,한국,한국,(주)쇼박스
27,카트,2014-11-13,"5,912,676,633",0.8%,"812,490",544,한국,한국,(주)리틀빅픽쳐스
28,관능의 법칙,2014-02-13,"5,858,771,500",0.8%,"781,516",591,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
29,상의원,2014-12-24,"5,293,724,564",0.7%,"676,632",466,한국,한국,"(주)쇼박스,(주)와우픽쳐스"
31,우는 남자,2014-06-04,"4,923,607,800",0.6%,"603,409",508,한국,한국,(주)씨제이이엔엠
32,패션왕,2014-11-06,"4,367,545,379",0.6%,"594,871",523,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
33,황제를 위하여,2014-06-11,"4,753,511,771",0.6%,"592,367",423,한국,한국,유나이티드픽처스(주)
34,몬스터,2014-03-13,"4,138,057,515",0.5%,"526,547",527,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
36,소녀괴담,2014-07-02,"3,554,806,054",0.5%,"481,696",455,한국,한국,(주)리틀빅픽쳐스
37,조선미녀삼총사,2014-01-29,"3,471,341,321",0.4%,"480,361",388,한국,한국,(주)쇼박스
38,넛잡: 땅콩 도둑들,2014-01-29,"3,280,608,100",0.4%,"478,392",382,한국,"한국,캐나다,미국",(주)싸이더스
39,마담 뺑덕,2014-10-02,"3,728,956,590",0.5%,"471,169",536,한국,한국,(주)씨제이이엔엠
41,나의 독재자,2014-10-30,"2,906,692,546",0.4%,"385,934",654,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
42,하이힐,2014-06-03,"2,749,906,500",0.4%,"341,606",385,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
43,레드카펫,2014-10-23,"2,405,669,580",0.3%,"316,953",385,한국,한국,(주)프레인글로벌
44,덕수리 5형제,2014-12-04,"1,590,807,200",0.2%,"210,777",346,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
45,아빠를 빌려드립니다,2014-11-20,"1,190,329,500",0.2%,"172,652",326,한국,한국,"플러스엠 엔터테인먼트,(주)레드로버"
46,가시,2014-04-10,"1,095,301,000",0.1%,"142,170",356,한국,한국,(주)인벤트스톤
47,맨홀,2014-10-08,"1,084,557,130",0.1%,"133,663",286,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
49,터널 3D,2014-08-20,"620,874,000",0.1%,"80,989",264,한국,한국,(주)박수엔터테인먼트
50,정글히어로,2014-10-02,"511,579,300",0.1%,"72,047",287,한국,한국,(주)씨제이이엔엠
51,설계,2014-09-18,"347,188,800",0.0%,"45,638",257,한국,한국,(주)팝엔터테인먼트
52,백프로,2014-04-03,"284,106,600",0.0%,"37,909",236,한국,한국,(주)마인스 엔터테인먼트
53,GROW: 인피니트의 리얼 청춘 라이프,2014-12-04,"189,409,200",0.0%,"23,865",71,한국,한국,골든타이드픽처스(주)
54,고스트 메신저 극장판,2014-05-22,"184,033,000",0.0%,"23,721",81,한국,한국,에이원엔터테인먼트
55,극장판 뛰뛰빵빵 구조대 미션: 둥둥이를 구하라!,2014-08-07,"144,062,800",0.0%,"21,939",91,한국,한국,플러스엠 엔터테인먼트
57,신화 라이브 3D 더 레전드 컨티뉴스,2014-12-11,"114,524,000",0.0%,"9,817",29,한국,한국,골든타이드픽처스(주)
58,두 아내,2014-03-17,"8,695,000",0.0%,"9,814",2,한국,한국,(유)조이앤컨텐츠그룹
60,메이크 유어 무브,2014-04-17,"73,741,600",0.0%,"9,368",96,한국,"한국,미국",(주)씨제이이엔엠
61,"의궤, 8일간의 축제 3D",2014-04-17,"45,334,000",0.0%,"7,956",16,한국,한국,"케이비에스미디어(주),KBS 미디어"
62,배꼽과 무릎사이,2014-05-22,"49,524,000",0.0%,"7,438",20,한국,한국,스크린조이
63,스퀴시랜드,2014-06-04,"38,111,300",0.0%,"5,473",55,한국,한국,(주)인벤트스톤
64,맛,2014-01-16,"13,822,000",0.0%,"5,021",19,한국,한국,(주)스크린다
65,밀애,2014-07-24,"16,206,000",0.0%,"4,770",19,한국,한국,(주)레몬트리픽쳐스
66,야누스: 욕망의 두 얼굴,2014-08-14,"20,193,000",0.0%,"4,122",20,한국,한국,(주)미디어데이
67,"1789, 바스티유의 연인들",2014-09-18,"68,088,500",0.0%,"4,013",35,한국,한국,유니버설픽쳐스인터내셔널 코리아(유)
68,청춘학당 : 풍기문란 보쌈 야사,2014-03-27,"26,637,900",0.0%,"3,772",57,한국,한국,(주)박수엔터테인먼트
69,옹녀뎐,2014-08-21,"10,197,000",0.0%,"3,765",21,한국,한국,(주)소나무픽쳐스
70,위층여자,2014-10-29,"18,962,000",0.0%,"3,739",20,한국,한국,노바엔터테인먼트
71,가자! 장미여관으로 2 - 갈증,2014-04-10,"14,471,000",0.0%,"3,534",20,한국,한국,(주)에이블엔터테인먼트
72,무명인,2014-05-29,"25,063,600",0.0%,"3,199",51,한국,"한국,일본",롯데쇼핑㈜롯데엔터테인먼트
73,여배우 공작단,2014-06-19,"15,839,000",0.0%,"2,729",21,한국,한국,(주)케이알씨지
74,여배우는 너무해,2014-02-27,"19,836,400",0.0%,"2,673",42,한국,한국,(주)인벤트스톤
75,사토미를 찾아라,2014-10-16,"13,164,000",0.0%,"2,595",20,한국,한국,브릿지웍스 엔터테인먼트(주)
76,워킹걸,2015-01-07,"18,076,000",0.0%,"2,369",308,한국,한국,플러스엠 엔터테인먼트
77,정사,2014-10-30,"6,761,000",0.0%,"2,283",20,한국,한국,(주)소나무픽쳐스
78,관계,2014-08-27,"10,652,000",0.0%,"2,146",19,한국,한국,브릿지웍스 엔터테인먼트(주)
79,레쓰링,2014-09-11,"16,073,000",0.0%,"2,116",33,한국,한국,(주)박수엔터테인먼트
80,먹이사슬,2014-09-17,"10,224,000",0.0%,"2,070",20,한국,한국,노바엔터테인먼트
82,그 참을 수 없는 맛,2014-07-09,"8,138,000",0.0%,"1,697",21,한국,한국,(주)케이알씨지
83,녀녀녀,2014-04-10,"8,231,000",0.0%,"1,694",20,한국,한국,골든타이드픽처스(주)
84,나는 야한 여자가 좋다,2014-07-10,"8,095,000",0.0%,"1,688",21,한국,한국,(주)케이알씨지
85,비밀과외,2014-02-13,"2,485,000",0.0%,"1,590",5,한국,한국,(주)케이알씨지
87,열애,2014-07-23,"7,470,000",0.0%,"1,564",20,한국,한국,(주)케이알씨지
88,중독애,2014-07-16,"7,495,000",0.0%,"1,547",20,한국,한국,(주)케이알씨지
89,가자! 장미여관으로 3 - 방황,2014-10-08,"7,183,000",0.0%,"1,529",20,한국,한국,(주)케이알씨지
90,스케치,2014-03-27,"10,690,500",0.0%,"1,483",22,한국,한국,브릿지웍스 엔터테인먼트(주)
91,나는 야한 여자가 좋다 2,2014-10-01,"5,507,000",0.0%,"1,248",20,한국,한국,(주)케이알씨지
92,위험한 유혹 - 추억이 떠나면 외로움만 남는다,2014-09-17,"5,481,000",0.0%,"1,227",20,한국,한국,(주)케이알씨지
93,떡,2014-08-06,"5,854,000",0.0%,"1,225",21,한국,한국,(주)케이알씨지
94,뽕2014,2014-12-11,"2,858,000",0.0%,"1,161",5,한국,한국,밀크픽처스
95,거짓말 2014,2014-10-22,"4,751,000",0.0%,"1,058",19,한국,한국,(유)조이앤컨텐츠그룹
96,욕망의 독: 중독,2014-09-25,"6,135,000",0.0%,988,20,한국,한국,어뮤즈
97,환상,2014-10-30,"4,693,000",0.0%,987,19,한국,한국,(유)조이앤컨텐츠그룹
98,전망 좋은 하우스 - 맛있는 섹스,2014-02-20,"1,160,000",0.0%,940,5,한국,한국,(주)케이알씨지
99,어우동: 주인 없는 꽃,2015-01-29,"8,280,000",0.0%,920,18,한국,한국,(주)드림팩트엔터테인먼트
100,캠퍼스 S 커플,2014-05-15,"4,728,000",0.0%,677,1,한국,한국,(주)액티버스엔터테인먼트
101,앙상블,2014-12-18,"5,161,500",0.0%,638,1,한국,한국,길스토리
102,불륜의 맛,2014-03-27,"1,950,000",0.0%,494,5,한국,한국,(주)케이알씨지
103,정사: 위험한 성적유희,2014-11-27,"1,754,000",0.0%,405,4,한국,한국,(주)케이알씨지
104,은밀하게 음란하게,2014-04-10,"1,160,000",0.0%,372,5,한국,한국,(주)케이알씨지
104,호두까기 인형,2014-12-07,"1,488,000",0.0%,372,1,한국,한국,(주)패뷸러스
106,나가요 미스콜,2014-03-13,"2,018,000",0.0%,338,4,한국,한국,노바엔터테인먼트
107,화창한 그날들,2014-03-14,"2,030,000",0.0%,310,2,한국,한국,(주)씨네로닷컴
108,스피릿 오브 베토벤,2014-12-10,"1,164,000",0.0%,291,1,한국,한국,(주)한경아르떼
109,명기,2014-12-30,"638,000",0.0%,241,5,한국,한국,(주)소나무픽쳐스
111,두 번째 엄마,2014-12-31,"520,000",0.0%,149,3,한국,한국,(주)케이알씨지
112,힐링메이트,2014-11-12,"1,106,000",0.0%,130,1,한국,한국,(주)버킷스튜디오
112,마이너클럽,2014-11-25,"1,170,000",0.0%,130,1,한국,한국,(주)버킷스튜디오
114,이불,2014-12-30,"736,000",0.0%,92,1,한국,한국,(주)대양미디어
115,한민족 그리고 조선족,2014-12-10,"568,000",0.0%,71,1,한국,한국,크리에이티브컴즈(주)
116,러브멘토,2014-04-17,"270,000",0.0%,54,1,한국,한국,(주)나우콘텐츠
116,외계인들,2014-12-31,"270,000",0.0%,54,1,한국,한국,(주)엘케이픽쳐스
116,원죄적 정사 2014,2014-08-13,"270,000",0.0%,54,1,한국,한국,주식회사 이엔터
121,픽업 아티스트,2014-08-28,"8,000",0.0%,1,1,한국,한국,골든타이드픽처스(주)
121,젊은 엄마 2,2014-05-29,"8,000",0.0%,1,1,한국,한국,골든타이드픽처스(주)
1,베테랑,2015-08-05,"105,168,155,250",12.2%,"13,414,009","1,064",한국,한국,(주)씨제이이엔엠
2,암살,2015-07-22,"98,463,132,781",11.4%,"12,705,700","1,519",한국,한국,(주)쇼박스
4,내부자들,2015-11-19,"56,465,665,657",6.6%,"7,055,332","1,075",한국,한국,(주)쇼박스
5,사도,2015-09-16,"48,842,902,501",5.7%,"6,246,849","1,210",한국,한국,(주)쇼박스
6,연평해전,2015-06-24,"45,563,228,330",5.3%,"6,043,784","1,013",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
7,검은 사제들,2015-11-05,"42,405,282,092",4.9%,"5,442,128","1,088",한국,한국,(주)씨제이이엔엠
8,히말라야,2015-12-16,"39,469,775,448",4.6%,"5,129,409","1,009",한국,한국,(주)씨제이이엔엠
